,0
0,25861.3
1,25861.3
2,25861.3
3,25861.3
4,25861.3
5,25861.3
6,25861.3
7,38028.953
8,38028.953
9,38028.953
10,25400.88
11,25400.88
12,25400.88
13,25400.88
14,25400.88
15,25400.88
16,95027.68
17,95027.68
18,95027.68
19,95027.68
20,23044.23
21,23044.23
22,23044.23
23,23044.23
24,40199.543
25,38028.953
26,38028.953
27,38028.953
28,38028.953
29,38028.953
30,38028.953
31,38028.953
32,38028.953
33,23044.23
34,23044.23
35,95027.68
36,95027.68
37,95027.68
38,95027.68
39,77497.734
40,77497.734
41,120215.336
42,47196.348
43,355.20026
44,355.20026
45,355.20026
46,355.20026
47,355.20026
48,355.20026
49,355.20026
50,355.20026
51,355.20026
52,355.20026
53,1267.3009
54,1267.3009
55,1267.3009
56,1267.3009
57,1267.3009
58,1267.3009
59,1267.3009
60,1267.3009
61,1267.3009
62,1267.3009
63,1267.3009
64,1267.3009
65,1267.3009
66,1267.3009
67,1267.3009
68,1267.3009
69,1267.3009
70,1267.3009
71,1267.3009
72,1267.3009
73,1267.3009
74,1267.3009
75,1267.3009
76,1267.3009
77,1267.3009
78,1267.3009
79,1267.3009
80,1201932.5
81,59371.605
82,1267.3009
83,1267.3009
84,1267.3009
85,1267.3009
86,1267.3009
87,1267.3009
88,1267.3009
89,1267.3009
90,1267.3009
91,1267.3009
92,1267.3009
93,1267.3009
94,1267.3009
95,1267.3009
96,1267.3009
97,4265.492
98,35111.504
99,35111.504
100,1267.3009
101,595456.2
102,1267.3009
103,1267.3009
104,1267.3009
105,1267.3009
106,1267.3009
107,1267.3009
108,1267.3009
109,1267.3009
110,1267.3009
111,1267.3009
112,1267.3009
113,1267.3009
114,1267.3009
115,1267.3009
116,1267.3009
117,1267.3009
118,1267.3009
119,1267.3009
120,1267.3009
121,1267.3009
122,1267.3009
123,1267.3009
124,1267.3009
125,1267.3009
126,1267.3009
127,1267.3009
128,1267.3009
129,1267.3009
130,1267.3009
131,1267.3009
132,1267.3009
133,83270.97
134,1045.402
135,35111.504
136,35111.504
137,1267.3009
138,1267.3009
139,1267.3009
140,1267.3009
141,1267.3009
142,1267.3009
143,1267.3009
144,1267.3009
145,1267.3009
146,1267.3009
147,1267.3009
148,1267.3009
149,1267.3009
150,1267.3009
151,1267.3009
152,1267.3009
153,3678.4736
154,3678.4736
155,38028.953
156,3678.4736
157,4237.2734
158,3678.4736
159,3678.4736
160,3678.4736
161,3678.4736
162,3678.4736
163,1201932.5
164,45230.008
165,45230.008
166,8981.9375
167,3678.4736
168,112398.94
169,112398.94
170,3822.226
171,3822.226
172,3822.226
173,3822.226
174,3822.226
175,3822.226
176,3822.226
177,3822.226
178,3822.226
179,3822.226
180,3822.226
181,3822.226
182,3822.226
183,3822.226
184,3822.226
185,3822.226
186,3822.226
187,3822.226
188,3822.226
189,3822.226
190,3822.226
191,3822.226
192,3822.226
193,3822.226
194,3822.226
195,3822.226
196,3822.226
197,3822.226
198,3822.226
199,3822.226
200,3822.226
201,3822.226
202,3822.226
203,3822.226
204,3822.226
205,3822.226
206,3822.226
207,3822.226
208,3822.226
209,3822.226
210,3822.226
211,3822.226
212,3822.226
213,3822.226
214,3822.226
215,3822.226
216,3822.226
217,3822.226
218,3822.226
219,3822.226
220,3822.226
221,3822.226
222,3822.226
223,3822.226
224,3822.226
225,3822.226
226,3822.226
227,3822.226
228,3822.226
229,3822.226
230,3822.226
231,3822.226
232,3822.226
233,3822.226
234,3822.226
235,3822.226
236,3822.226
237,3822.226
238,3822.226
239,3822.226
240,3822.226
241,3822.226
242,3822.226
243,3822.226
244,3822.226
245,3822.226
246,3822.226
247,3822.226
248,3822.226
249,3822.226
250,3822.226
251,3822.226
252,3822.226
253,3822.226
254,3822.226
255,3822.226
256,3822.226
257,3822.226
258,3822.226
259,3822.226
260,3822.226
261,3822.226
262,3822.226
263,3822.226
264,3822.226
265,3822.226
266,3822.226
267,3822.226
268,3822.226
269,3822.226
270,3822.226
271,3822.226
272,3822.226
273,3822.226
274,3822.226
275,3822.226
276,3822.226
277,3822.226
278,3822.226
279,3822.226
280,3822.226
281,3822.226
282,3822.226
283,3822.226
284,3822.226
285,3822.226
286,3822.226
287,3822.226
288,3822.226
289,3822.226
290,3822.226
291,3822.226
292,3822.226
293,3822.226
294,112398.94
295,3822.226
296,4237.2734
297,3678.4736
298,4237.2734
299,8793.296
300,-1649.4304
301,1267.3009
302,-1649.4304
303,-1649.4304
304,-1649.4304
305,1267.3009
306,3398.023
307,12785.25
308,-6957.529
309,12785.25
310,1267.3009
311,2576.6384
312,38028.953
313,38028.953
314,38028.953
315,59371.605
316,595456.2
317,1267.3009
318,-6957.529
319,12239.441
320,-6957.529
321,595456.2
322,1267.3009
323,25085.354
324,-6957.529
325,1267.3009
326,1267.3009
327,595456.2
328,-6957.529
329,1749.5198
330,1267.3009
331,75259.1
332,75259.1
333,-409.69974
334,-409.69974
335,75259.1
336,75259.1
337,75259.1
338,143624.44
339,23931.805
340,1267.3009
341,3678.4736
342,8532.146
343,25085.354
344,25085.354
345,-6957.529
346,-6957.529
347,1267.3009
348,1267.3009
349,75259.1
350,59371.605
351,3678.4736
352,1267.3009
353,595456.2
354,38028.953
355,595456.2
356,595456.2
357,38028.953
358,38028.953
359,38028.953
360,75259.1
361,-6957.529
362,38028.953
363,276500.3
364,2891.2144
365,-6957.529
366,-6957.529
367,-6957.529
368,8532.146
369,38028.953
370,-6957.529
371,12785.25
372,-6957.529
373,12785.25
374,12785.25
375,116897.44
376,276500.3
377,38028.953
378,44969.656
379,-409.69974
380,-409.69974
381,1267.3009
382,116897.44
383,-409.69974
384,-409.69974
385,67504.5
386,15758.92
387,-409.69974
388,1267.3009
389,1267.3009
390,9872.877
391,9872.877
392,3678.4736
393,1267.3009
394,3835.119
395,3678.4736
396,25085.354
397,1267.3009
398,12785.25
399,12785.25
400,74073.914
401,-409.69974
402,-409.69974
403,1267.3009
404,1267.3009
405,-409.69974
406,249346.84
407,87285.305
